R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_avg_KD,B_avg_opp_KD,B_avg_SIG_STR_pct,B_avg_opp_SIG_STR_pct,B_avg_TD_pct,B_avg_opp_TD_pct,B_avg_SUB_ATT,B_avg_opp_SUB_ATT,B_avg_REV,B_avg_opp_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_BODY_att,B_avg_BODY_landed,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_total_time_fought_seconds,B_total_time_fought_seconds,B_total_time_fought_seconds,B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time_seconds,R_avg_opp_CTRL_time_seconds,R_total_time_fought_seconds,R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_fighter_id,B_fighter_id,ref_id
Alexander Volkanovski,Max Holloway,Herb Dean,2020-07-11,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,True,Featherweight,0.0235934257507324,0.0,0.4330862236022949,0.4556819677352905,0.072509765625,0.0412728643417358,0.13433837890625,1.430511474609375e-06,0.0,6.103515625e-05,338.33029890060425,148.39286947250366,292.32211923599243,136.00714206695557,344.585563659668,154.53585624694824,292.8463158607483,136.51147174835205,0.0803260803222656,0.080322265625,7.53532600402832,0.5002036094665527,282.29602909088135,109.02047061920166,205.0673055648804,75.36465692520142,42.10409927368164,30.13496398925781,33.480797290802,16.7886061668396,13.93017053604126,9.23743486404419,53.77401638031006,43.85387897491455,329.2771496772766,140.95608234405518,285.96697425842285,132.408616065979,7.0751471519470215,5.967128753662109,5.849839687347412,3.344244956970215,1.9780020713806152,1.469658374786377,0.505305290222168,0.2542810440063476,7.322590351104736,86.11365461349487,1441.742733478546,65,7,0,1,13,17,5,0,0,1,5,8,2,1,Orthodox,180.34,175.26,145.0,0.2578125,0.125,0.522265625,0.42578125,0.048359375,0.12328125,0.1875,0.0,0.0078125,0.0078125,227.2109375,119.6640625,191.6640625,83.796875,238.640625,129.609375,195.890625,87.671875,3.890625,0.3203125,1.2890625,0.4609375,136.75,52.890625,148.9921875,54.0859375,25.828125,14.2578125,27.6328125,19.578125,64.6328125,52.515625,15.0390625,10.1328125,211.421875,106.6875,187.40625,80.3046875,11.1328125,9.7890625,4.0234375,3.2578125,4.65625,3.1875,0.234375,0.234375,129.8984375,14.140625,1143.578125,23,1,8,0,8,8,0,0,0,0,5,3,0,0,Orthodox,167.64,180.34,145.0,28.0,31.0,2,1,1
Max Holloway,Alexander Volkanovski,Jason Herzog,2019-12-14,"Las Vegas, Nevada, USA",Blue,True,Featherweight,0.515625,0.25,0.53453125,0.4115625,0.09671875,0.2465625,0.375,0.0,0.015625,0.015625,151.421875,82.328125,80.328125,33.59375,174.28125,102.21875,87.78125,40.34375,3.78125,0.640625,2.578125,0.921875,95.5,38.78125,64.984375,23.171875,19.65625,13.515625,11.265625,7.15625,36.265625,30.03125,4.078125,3.265625,120.84375,57.375,73.8125,28.609375,21.265625,18.578125,6.046875,4.515625,9.3125,6.375,0.46875,0.46875,214.796875,26.28125,787.15625,18,0,7,0,7,7,0,0,0,0,4,3,0,0,Orthodox,167.64,180.34,145.0,0.0471868515014648,0.0,0.4261724472045898,0.401363935470581,0.14501953125,0.0825457286834716,0.2686767578125,2.86102294921875e-06,0.0,0.0001220703125,373.6605978012085,162.78573894500732,281.64423847198486,115.01428413391112,385.171127319336,174.07171249389648,282.6926317214966,116.0229434967041,0.1606521606445312,0.16064453125,11.07065200805664,1.0004072189331057,331.5920581817627,133.04094123840332,232.13461112976077,83.72931385040283,40.20819854736328,28.269927978515625,34.961594581604004,18.5772123336792,1.8603410720825195,1.474869728088379,14.548032760620115,12.707757949829102,357.5542993545532,149.91216468811035,269.9339485168457,108.817232131958,12.150294303894045,9.93425750732422,10.699679374694824,5.68848991394043,3.9560041427612314,2.939316749572754,1.010610580444336,0.5085620880126953,12.645180702209473,127.22730922698976,1383.4854669570925,60,6,0,1,13,17,4,0,0,1,5,8,2,1,Orthodox,180.34,175.26,145.0,31.0,28.0,1,2,2
